,logFC,AveExpr,t,P.Value,adj.P.Val,B,Score,ABSScore
APBA2,0.084842664,5.635377472,3.048651897,0.002344251,0.009518391,-1.954664398,0.171504053,0.171504053
RNF125,-0.040442201,5.933998915,-3.137677925,0.001740445,0.007460608,-1.955992691,-0.086029692,0.086029692
TIE1,-0.03494345,6.116686108,-3.223203972,0.001298521,0.005878659,-1.956286411,-0.077949112,0.077949112
RTDR1,0.195731213,3.55298193,2.922140786,0.003535297,0.013209647,-1.958537692,0.367800242,0.367800242
CMPK1,0.019004277,6.516718043,3.357448244,0.000808965,0.003966402,-1.965042667,0.045640734,0.045640734
C5orf41,-0.04435462,6.042486268,-3.183183028,0.001490515,0.006586114,-1.966555688,-0.096753871,0.096753871
SLC7A11,0.065826235,5.763813429,3.089029294,0.002049882,0.008514698,-1.967142364,0.136249166,0.136249166
FAM48B2,-0.197480189,2.735690539,-2.926513058,0.003486301,0.013058731,-1.967397949,-0.37207223,0.37207223
SLC17A9,0.070177972,5.714924372,3.069846157,0.002185222,0.008978025,-1.968971011,0.143641621,0.143641621
ATXN7L2,0.039402409,5.691507677,3.05312804,0.002309806,0.00941143,-1.970736538,0.07984285,0.07984285
FCN1,0.143519938,5.096455222,2.923630366,0.003518534,0.013156984,-1.972687619,0.269938566,0.269938566
CN5H6.4,0.095484674,4.825715412,2.899024965,0.003804915,0.01405204,-1.974340144,0.176862502,0.176862502
TRPV4,0.05964434,5.743052486,3.076660628,0.002136233,0.008815312,-1.974505815,0.122554943,0.122554943
BPI,0.281115942,3.599973069,2.915394479,0.003612128,0.013453403,-1.975453438,0.526015109,0.526015109
SOX2OT,-0.208598172,3.784083585,-2.915158773,0.00361484,0.013460961,-1.975458557,-0.390271312,0.390271312
MOBKL2C,-0.022563382,6.073612141,-3.200466416,0.001404595,0.006272503,-1.977850662,-0.049697183,0.049697183
GNB5,-0.030933062,6.083746854,-3.202517857,0.001394707,0.006236814,-1.978061663,-0.068208552,0.068208552
LRRC4B,-0.141126406,4.662266961,-2.896829419,0.003831472,0.014123676,-1.978119867,-0.261091226,0.261091226
PLOD3,0.02609816,6.369138802,3.31833141,0.00093015,0.00445987,-1.981170783,0.061348366,0.061348366
ATG16L2,-0.042906801,6.024255613,-3.169459421,0.001562164,0.006835332,-1.983036853,-0.092903539,0.092903539
